,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year
51,The Hunger Games: Mockingjay - Part 2,LGF,"$102,665,981 ",11/20/15,Francis Lawrence,"$160,000,000 ",tt1951266,11,2015
52,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$100,137,835 ",5/22/08,Steven Spielberg,"$185,000,000 ",tt0367882,5,2008
53,Transformers: Age of Extinction,Par.,"$100,038,390 ",6/27/14,Michael Bay,"$210,000,000 ",tt2109248,6,2014
54,The Fate of the Furious,Uni.,"$98,786,705 ",4/14/17,F. Gary Gray,"$250,000,000 ",tt4630562,4,2017
55,Iron Man,Par.,"$98,618,668 ",5/2/08,Jon Favreau,"$140,000,000 ",tt0371746,5,2008
56,Transformers: Dark of the Moon,P/DW,"$97,852,865 ",6/29/11,Michael Bay,"$195,000,000 ",tt1399103,6,2011
57,Fast & Furious 6,Uni.,"$97,375,245 ",5/24/13,Justin Lin,"$160,000,000 ",tt1905041,5,2013
58,Captain America: The Winter Soldier,BV,"$95,023,721 ",4/4/14,"Anthony Russo, Joe Russo","$170,000,000 ",tt1843866,4,2014
59,Guardians of the Galaxy,BV,"$94,320,883 ",8/1/14,James Gunn,"$170,000,000 ",tt2015381,8,2014
60,Justice League,WB,"$93,842,239 ",11/17/17,Zack Snyder,"$300,000,000 ",tt0974015,11,2017
61,Harry Potter and the Prisoner of Azkaban,WB,"$93,687,367 ",6/4/04,Alfonso Cuarón,"$130,000,000 ",tt0304141,6,2004
62,Godzilla (2014),WB,"$93,188,384 ",5/16/14,,,,5,2014
63,The Matrix Reloaded,WB,"$91,774,413 ",5/15/03,"Lana Wachowski, Lilly Wachowski","$7,241,362 ",tt0234215,5,2003
64,The Amazing Spider-Man 2,Sony,"$91,608,337 ",5/2/14,Marc Webb,"$200,000,000 ",tt1872181,5,2014
65,X-Men: Days of Future Past,Fox,"$90,823,660 ",5/23/14,Bryan Singer,"$200,000,000 ",tt1877832,5,2014
66,Inside Out,BV,"$90,440,272 ",6/19/15,"Pete Docter, Ronnie Del Carmen(co-director)","$175,000,000 ",tt2096673,6,2015
67,Harry Potter and the Sorcerer's Stone,WB,"$90,294,621 ",11/16/01,,,,11,2001
68,Pirates of the Caribbean: On Stranger Tides,BV,"$90,151,958 ",5/20/11,Rob Marshall," $90,151,958,",tt1298650,5,2011
69,American Sniper,WB,"$89,269,066 ",1/16/15,Clint Eastwood,"$58,800,000 ",tt2179136,1,2015
70,Logan,Fox,"$88,411,916 ",3/3/17,James Mangold,"$97,000,000 ",tt3315342,3,2017
71,Skyfall,Sony,"$88,364,714 ",11/9/12,Sam Mendes," £20,180,369",tt1074638,11,2012
72,Harry Potter and the Chamber of Secrets,WB,"$88,357,488 ",11/15/02,Chris Columbus,"$100,000,000 ",tt0295297,11,2002
73,Spider-Man 2,Sony,"$88,156,227 ",6/30/04,Sam Raimi,"$200,000,000 ",tt0316654,6,2004
74,Fast Five,Uni.,"$86,198,765 ",4/29/11,Justin Lin,"$125,000,000 ",tt1596343,4,2011
75,The Hangover Part II,WB,"$85,946,294 ",5/26/11,Todd Phillips,"$80,000,000 ",tt1411697,5,2011
76,Thor: The Dark World,BV,"$85,737,841 ",11/8/13,Alan Taylor,"$170,000,000 ",tt1981115,11,2013
77,X2: X-Men United,Fox,"$85,558,731 ",5/2/03,,,,5,2003
78,Fifty Shades of Grey,Uni.,"$85,171,450 ",2/13/15,Sam Taylor-Johnson,"$40,000,000 ",tt2322441,2,2015
79,Doctor Strange,BV,"$85,058,311 ",11/4/16,Scott Derrickson,"$165,000,000 ",tt1211837,11,2016
80,X-Men Origins: Wolverine,Fox,"$85,058,003 ",5/1/09,,,,5,2009
81,The Hobbit: An Unexpected Journey,WB (NL),"$84,617,303 ",12/14/12,Peter Jackson,"$180,000,000 ",tt0903624,12,2012
82,Solo: A Star Wars Story,BV,"$84,420,489 ",5/25/18,Ron Howard,"$300,000,000 ",tt3778644,5,2018
83,The Passion of the Christ,NM,"$83,848,082 ",2/25/04,Mel Gibson,,tt0335345,2,2004
84,Despicable Me 2,Uni.,"$83,517,315 ",7/3/13,"Pierre Coffin, Chris Renaud"," $83,517,315,",tt1690953,7,2013
85,Monsters University,BV,"$82,429,469 ",6/21/13,Dan Scanlon,"$200,000,000 ",tt1453405,6,2013
86,Star Wars: Episode II - Attack of the Clones,Fox,"$80,027,814 ",5/16/02,George Lucas,"$115,000,000 ",tt0121765,5,2002
87,Oz The Great and Powerful,BV,"$79,110,453 ",3/8/13,Sam Raimi,"$215,000,000 ",tt1623205,3,2013
88,Harry Potter and the Half-Blood Prince,WB,"$77,835,727 ",7/15/09,David Yates,"$250,000,000 ",tt0417741,7,2009
89,I Am Legend,WB,"$77,211,321 ",12/14/07,Francis Lawrence,"$150,000,000 ",tt0480249,12,2007
90,Harry Potter and the Order of the Phoenix,WB,"$77,108,414 ",7/11/07,David Yates,"$150,000,000 ",tt0373889,7,2007
91,The Da Vinci Code,Sony,"$77,073,388 ",5/19/06,Ron Howard,"$125,000,000 ",tt0382625,5,2006
92,Avatar,Fox,"$77,025,481 ",12/18/09,James Cameron,"$237,000,000 ",tt0499549,12,2009
93,Star Trek,Par.,"$75,204,289 ",5/8/09,J.J. Abrams,"$150,000,000 ",tt0796366,5,2009
94,Zootopia,BV,"$75,063,401 ",3/4/16,"Byron Howard, Rich Moore, Jared Bush(co-director)","$150,000,000 ",tt2948356,3,2016
95,Fantastic Beasts and Where To Find Them,WB,"$74,403,387 ",11/18/16,David Yates,"$180,000,000 ",tt3183660,11,2016
96,The Simpsons Movie,Fox,"$74,036,787 ",7/27/07,David Silverman," $74,036,787,",tt0462538,7,2007
97,The Hobbit: The Desolation of Smaug,WB (NL),"$73,645,197 ",12/13/13,Peter Jackson,"$225,000,000 ",tt1170358,12,2013
98,Austin Powers in Goldmember,NL,"$73,071,188 ",7/26/02,Jay Roach,"$63,000,000 ",tt0295178,7,2002
99,The Lord of the Rings: The Return of the King,NL,"$72,629,713 ",12/17/03,Peter Jackson,"$94,000,000 ",tt0167260,12,2003
100,Dawn of the Planet of the Apes,Fox,"$72,611,427 ",7/11/14,Matt Reeves,"$170,000,000 ",tt2103281,7,2014
101,Despicable Me 3,Uni.,"$72,434,025 ",6/30/17,"Kyle Balda, Pierre Coffin, Eric Guillon(co-director)"," $72,434,025,",tt3469046,6,2017
103,Fast and Furious,Uni.,"$70,950,500 ",4/3/09,Busby Berkeley,,tt0031298,4,2009
104,300,WB,"$70,885,301 ",3/9/07,Zack Snyder,"$65,000,000 ",tt0416449,3,2007
105,Shrek Forever After,P/DW,"$70,838,207 ",5/21/10,Mike Mitchell," $70,838,207,",tt0892791,5,2010
106,Transformers,P/DW,"$70,502,384 ",7/3/07,Michael Bay,"$150,000,000 ",tt0418279,7,2007
107,The Incredibles,BV,"$70,467,623 ",11/5/04,Brad Bird,"$92,000,000 ",tt0317705,11,2004
108,Spectre,Sony,"$70,403,148 ",11/6/15,Sam Mendes,"$245,000,000 ",tt2379713,11,2015
109,Finding Nemo,BV,"$70,251,710 ",5/30/03,"Andrew Stanton, Lee Unkrich(co-director)","$94,000,000 ",tt0266543,5,2003
110,Dr. Seuss' The Lorax,Uni.,"$70,217,070 ",3/2/12,,,,3,2012
111,Star Trek Into Darkness,Par.,"$70,165,559 ",5/16/13,J.J. Abrams,"$190,000,000 ",tt1408101,5,2013
112,Twilight,Sum.,"$69,637,740 ",11/21/08,Catherine Hardwicke,"$37,000,000 ",tt1099212,11,2008
113,Maleficent,BV,"$69,431,298 ",5/30/14,Robert Stromberg,"$180,000,000 ",tt1587310,5,2014
114,The Bourne Ultimatum,Uni.,"$69,283,690 ",8/3/07,Paul Greengrass,"$110,000,000 ",tt0440963,8,2007
115,Pitch Perfect 2,Uni.,"$69,216,890 ",5/15/15,Elizabeth Banks,"$29,000,000 ",tt2848292,5,2015
116,The LEGO Movie,WB,"$69,050,279 ",2/7/14,"Phil Lord, Christopher Miller","$60,000,000 ",tt1490017,2,2014
117,The Day After Tomorrow,Fox,"$68,743,584 ",5/28/04,Roland Emmerich,"$125,000,000 ",tt0319262,5,2004
118,Planet of the Apes (2001),Fox,"$68,532,960 ",7/27/01,,,,7,2001
119,The Mummy Returns,Uni.,"$68,139,035 ",5/4/01,Stephen Sommers,"$98,000,000 ",tt0209163,5,2001
120,Up,BV,"$68,108,790 ",5/29/09,"Pete Docter, Bob Peterson(co-director)","$175,000,000 ",tt1049413,5,2009
121,Ice Age: The Meltdown,Fox,"$68,033,544 ",3/31/06,Carlos Saldanha," $68,033,544,",tt0438097,3,2006
122,Bruce Almighty,Uni.,"$67,953,330 ",5/23/03,Tom Shadyac,"$81,000,000 ",tt0315327,5,2003
