,Rank,Title,Studio,Opening,%_of_total,No_of_Theaters,Date**,Month,Year,ave_opening_by_studio,Studio_value
61,62,Harry Potter and the Prisoner of Azkaban,WB,93687367,37.50%,3855,6/4/04,6,2004,86199612.0,3
62,63,Godzilla (2014),WB,93188384,46.40%,3952,5/16/14,5,2014,86199612.0,3
63,64,The Matrix Reloaded,WB,91774413,32.60%,3603,5/15/03,5,2003,86199612.0,3
64,65,The Amazing Spider-Man 2,Sony,91608337,45.20%,4324,5/2/14,5,2014,78030367.0,3
65,66,X-Men: Days of Future Past,Fox,90823660,38.80%,3996,5/23/14,5,2014,70657547.0,3
66,67,Inside Out,BV,90440272,25.40%,3946,6/19/15,6,2015,104914271.0,4
67,68,Harry Potter and the Sorcerer's Stone,WB,90294621,28.40%,3672,11/16/01,11,2001,86199612.0,3
68,69,Pirates of the Caribbean: On Stranger Tides,BV,90151958,37.40%,4155,5/20/11,5,2011,104914271.0,4
69,70,American Sniper,WB,89269066,25.50%,3555,1/16/15,1,2015,86199612.0,3
70,71,Logan,Fox,88411916,39.10%,4071,3/3/17,3,2017,70657547.0,3
71,72,Skyfall,Sony,88364714,29.00%,3505,11/9/12,11,2012,78030367.0,3
72,73,Harry Potter and the Chamber of Secrets,WB,88357488,33.70%,3682,11/15/02,11,2002,86199612.0,3
73,74,Spider-Man 2,Sony,88156227,23.60%,4152,6/30/04,6,2004,78030367.0,3
74,75,Fast Five,Uni.,86198765,41.10%,3644,4/29/11,4,2011,77343886.0,3
75,76,The Hangover Part II,WB,85946294,33.80%,3615,5/26/11,5,2011,86199612.0,3
76,77,Thor: The Dark World,BV,85737841,41.50%,3841,11/8/13,11,2013,104914271.0,4
77,78,X2: X-Men United,Fox,85558731,39.80%,3741,5/2/03,5,2003,70657547.0,3
78,79,Fifty Shades of Grey,Uni.,85171450,51.30%,3646,2/13/15,2,2015,77343886.0,3
79,80,Doctor Strange,BV,85058311,36.60%,3882,11/4/16,11,2016,104914271.0,4
80,81,X-Men Origins: Wolverine,Fox,85058003,47.30%,4099,5/1/09,5,2009,70657547.0,3
81,82,The Hobbit: An Unexpected Journey,WB (NL),84617303,27.90%,4045,12/14/12,12,2012,72039648.0,3
82,83,Solo: A Star Wars Story,BV,84420489,40.70%,4381,5/25/18,5,2018,104914271.0,4
83,84,The Passion of the Christ,NM,83848082,22.60%,3043,2/25/04,2,2004,83848082.0,3
84,85,Despicable Me 2,Uni.,83517315,22.70%,3997,7/3/13,7,2013,77343886.0,3
85,86,Monsters University,BV,82429469,30.70%,4004,6/21/13,6,2013,104914271.0,4
86,87,Star Wars: Episode II - Attack of the Clones,Fox,80027814,26.50%,3161,5/16/02,5,2002,70657547.0,3
87,88,Oz The Great and Powerful,BV,79110453,33.70%,3912,3/8/13,3,2013,104914271.0,4
88,89,Harry Potter and the Half-Blood Prince,WB,77835727,25.80%,4325,7/15/09,7,2009,86199612.0,3
89,90,I Am Legend,WB,77211321,30.10%,3606,12/14/07,12,2007,86199612.0,3
90,91,Harry Potter and the Order of the Phoenix,WB,77108414,26.40%,4285,7/11/07,7,2007,86199612.0,3
91,92,The Da Vinci Code,Sony,77073388,35.40%,3735,5/19/06,5,2006,78030367.0,3
92,93,Avatar,Fox,77025481,10.30%,3452,12/18/09,12,2009,70657547.0,3
93,94,Star Trek,Par.,75204289,29.20%,3849,5/8/09,5,2009,70302989.0,3
94,95,Zootopia,BV,75063401,22.00%,3827,3/4/16,3,2016,104914271.0,4
95,96,Fantastic Beasts and Where To Find Them,WB,74403387,31.80%,4144,11/18/16,11,2016,86199612.0,3
96,97,The Simpsons Movie,Fox,74036787,40.40%,3922,7/27/07,7,2007,70657547.0,3
97,98,The Hobbit: The Desolation of Smaug,WB (NL),73645197,28.50%,3903,12/13/13,12,2013,72039648.0,3
98,99,Austin Powers in Goldmember,NL,73071188,34.30%,3613,7/26/02,7,2002,66006851.0,3
99,100,The Lord of the Rings: The Return of the King,NL,72629713,19.30%,3703,12/17/03,12,2003,66006851.0,3
100,101,Dawn of the Planet of the Apes,Fox,72611427,34.80%,3967,7/11/14,7,2014,70657547.0,3
101,102,Despicable Me 3,Uni.,72434025,27.40%,4529,6/30/17,6,2017,77343886.0,3
102,103,The Lost World: Jurassic Park,Uni.,72132785,31.50%,3281,5/23/97,5,1997,77343886.0,3
103,104,Fast and Furious,Uni.,70950500,45.80%,3461,4/3/09,4,2009,77343886.0,3
104,105,300,WB,70885301,33.70%,3103,3/9/07,3,2007,86199612.0,3
105,106,Shrek Forever After,P/DW,70838207,29.70%,4359,5/21/10,5,2010,79196954.0,3
106,107,Transformers,P/DW,70502384,22.10%,4011,7/3/07,7,2007,79196954.0,3
107,108,The Incredibles,BV,70467623,27.00%,3933,11/5/04,11,2004,104914271.0,4
108,109,Spectre,Sony,70403148,35.20%,3929,11/6/15,11,2015,78030367.0,3
109,110,Finding Nemo,BV,70251710,20.70%,3374,5/30/03,5,2003,104914271.0,4
110,111,Dr. Seuss' The Lorax,Uni.,70217070,32.80%,3729,3/2/12,3,2012,77343886.0,3
111,112,Star Trek Into Darkness,Par.,70165559,30.70%,3868,5/16/13,5,2013,70302989.0,3
112,113,Twilight,Sum.,69637740,36.10%,3419,11/21/08,11,2008,103857832.0,4
