,Unnamed: 0,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,ticket_price
50,51,The Hunger Games: Mockingjay - Part 2,LGF,102665981.0,11/20/15,Francis Lawrence,160000000.0,tt1951266,Nov,2015,$8.43 
51,52,Indiana Jones and the Kingdom of the Crystal Skull,Par.,100137835.0,5/22/08,Steven Spielberg,185000000.0,tt0367882,May,2008,$7.18 
52,53,Transformers: Age of Extinction,Par.,100038390.0,6/27/14,Michael Bay,210000000.0,tt2109248,Jun,2014,$8.17 
53,54,The Fate of the Furious,Uni.,98786705.0,4/14/17,F. Gary Gray,250000000.0,tt4630562,Apr,2017,$8.97 
54,55,Iron Man,Par.,98618668.0,5/2/08,Jon Favreau,140000000.0,tt0371746,May,2008,$7.18 
55,56,Transformers: Dark of the Moon,P/DW,97852865.0,6/29/11,Michael Bay,195000000.0,tt1399103,Jun,2011,$7.93 
56,57,Fast & Furious 6,Uni.,97375245.0,5/24/13,Justin Lin,160000000.0,tt1905041,May,2013,$8.13 
57,58,Captain America: The Winter Soldier,BV,95023721.0,4/4/14,"Anthony Russo, Joe Russo",170000000.0,tt1843866,Apr,2014,$8.17 
58,59,Guardians of the Galaxy,BV,94320883.0,8/1/14,James Gunn,170000000.0,tt2015381,Aug,2014,$8.17 
59,60,Justice League,WB,93842239.0,11/17/17,Zack Snyder,300000000.0,tt0974015,Nov,2017,$8.97 
60,61,Harry Potter and the Prisoner of Azkaban,WB,93687367.0,6/4/04,Alfonso Cuarón,130000000.0,tt0304141,Jun,2004,$6.21 
61,62,Godzilla (2014),WB,93188384.0,5/16/14,,,,May,2014,$8.17 
62,63,The Matrix Reloaded,WB,91774413.0,5/15/03,"Lana Wachowski, Lilly Wachowski",7241362.0,tt0234215,May,2003,$6.03 
63,64,The Amazing Spider-Man 2,Sony,91608337.0,5/2/14,Marc Webb,200000000.0,tt1872181,May,2014,$8.17 
64,65,X-Men: Days of Future Past,Fox,90823660.0,5/23/14,Bryan Singer,200000000.0,tt1877832,May,2014,$8.17 
65,66,Inside Out,BV,90440272.0,6/19/15,"Pete Docter, Ronnie Del Carmen(co-director)",175000000.0,tt2096673,Jun,2015,$8.43 
66,67,Harry Potter and the Sorcerer's Stone,WB,90294621.0,11/16/01,,,,Nov,2001,$5.65 
67,68,Pirates of the Caribbean: On Stranger Tides,BV,90151958.0,5/20/11,Rob Marshall,90151958.0,tt1298650,May,2011,$7.93 
68,69,American Sniper,WB,89269066.0,1/16/15,Clint Eastwood,58800000.0,tt2179136,Jan,2015,$8.43 
69,70,Logan,Fox,88411916.0,3/3/17,James Mangold,97000000.0,tt3315342,Mar,2017,$8.97 
70,72,Harry Potter and the Chamber of Secrets,WB,88357488.0,11/15/02,Chris Columbus,100000000.0,tt0295297,Nov,2002,$5.80 
71,73,Spider-Man 2,Sony,88156227.0,6/30/04,Sam Raimi,200000000.0,tt0316654,Jun,2004,$6.21 
72,74,Fast Five,Uni.,86198765.0,4/29/11,Justin Lin,125000000.0,tt1596343,Apr,2011,$7.93 
73,75,The Hangover Part II,WB,85946294.0,5/26/11,Todd Phillips,80000000.0,tt1411697,May,2011,$7.93 
74,76,Thor: The Dark World,BV,85737841.0,11/8/13,Alan Taylor,170000000.0,tt1981115,Nov,2013,$8.13 
75,77,X2: X-Men United,Fox,85558731.0,5/2/03,,,,May,2003,$6.03 
76,78,Fifty Shades of Grey,Uni.,85171450.0,2/13/15,Sam Taylor-Johnson,40000000.0,tt2322441,Feb,2015,$8.43 
77,79,Doctor Strange,BV,85058311.0,11/4/16,Scott Derrickson,165000000.0,tt1211837,Nov,2016,$8.65 
78,80,X-Men Origins: Wolverine,Fox,85058003.0,5/1/09,,,,May,2009,$7.50 
79,81,The Hobbit: An Unexpected Journey,WB (NL),84617303.0,12/14/12,Peter Jackson,180000000.0,tt0903624,Dec,2012,$7.96 
80,82,Solo: A Star Wars Story,BV,84420489.0,5/25/18,Ron Howard,300000000.0,tt3778644,May,2018,
81,83,The Passion of the Christ,NM,83848082.0,2/25/04,Mel Gibson,,tt0335345,Feb,2004,$6.21 
82,84,Despicable Me 2,Uni.,83517315.0,7/3/13,"Pierre Coffin, Chris Renaud",83517315.0,tt1690953,July,2013,$8.13 
83,85,Monsters University,BV,82429469.0,6/21/13,Dan Scanlon,200000000.0,tt1453405,Jun,2013,$8.13 
84,86,Star Wars: Episode II - Attack of the Clones,Fox,80027814.0,5/16/02,George Lucas,115000000.0,tt0121765,May,2002,$5.80 
85,87,Oz The Great and Powerful,BV,79110453.0,3/8/13,Sam Raimi,215000000.0,tt1623205,Mar,2013,$8.13 
86,88,Harry Potter and the Half-Blood Prince,WB,77835727.0,7/15/09,David Yates,250000000.0,tt0417741,July,2009,$7.50 
87,89,I Am Legend,WB,77211321.0,12/14/07,Francis Lawrence,150000000.0,tt0480249,Dec,2007,$6.88 
88,90,Harry Potter and the Order of the Phoenix,WB,77108414.0,7/11/07,David Yates,150000000.0,tt0373889,July,2007,$6.88 
89,91,The Da Vinci Code,Sony,77073388.0,5/19/06,Ron Howard,125000000.0,tt0382625,May,2006,$6.55 
90,92,Avatar,Fox,77025481.0,12/18/09,James Cameron,237000000.0,tt0499549,Dec,2009,$7.50 
91,93,Star Trek,Par.,75204289.0,5/8/09,J.J. Abrams,150000000.0,tt0796366,May,2009,$7.50 
92,94,Zootopia,BV,75063401.0,3/4/16,"Byron Howard, Rich Moore, Jared Bush(co-director)",150000000.0,tt2948356,Mar,2016,$8.65 
93,95,Fantastic Beasts and Where To Find Them,WB,74403387.0,11/18/16,David Yates,180000000.0,tt3183660,Nov,2016,$8.65 
94,96,The Simpsons Movie,Fox,74036787.0,7/27/07,David Silverman,74036787.0,tt0462538,July,2007,$6.88 
95,97,The Hobbit: The Desolation of Smaug,WB (NL),73645197.0,12/13/13,Peter Jackson,225000000.0,tt1170358,Dec,2013,$8.13 
96,98,Austin Powers in Goldmember,NL,73071188.0,7/26/02,Jay Roach,63000000.0,tt0295178,July,2002,$5.80 
97,99,The Lord of the Rings: The Return of the King,NL,72629713.0,12/17/03,Peter Jackson,94000000.0,tt0167260,Dec,2003,$6.03 
98,100,Dawn of the Planet of the Apes,Fox,72611427.0,7/11/14,Matt Reeves,170000000.0,tt2103281,July,2014,$8.17 
99,101,Despicable Me 3,Uni.,72434025.0,6/30/17,"Kyle Balda, Pierre Coffin, Eric Guillon(co-director)",72434025.0,tt3469046,Jun,2017,$8.97 
100,103,Fast and Furious,Uni.,70950500.0,4/3/09,Busby Berkeley,,tt0031298,Apr,2009,$7.50 
101,104,300,WB,70885301.0,3/9/07,Zack Snyder,65000000.0,tt0416449,Mar,2007,$6.88 
102,105,Shrek Forever After,P/DW,70838207.0,5/21/10,Mike Mitchell,70838207.0,tt0892791,May,2010,$7.89 
103,106,Transformers,P/DW,70502384.0,7/3/07,Michael Bay,150000000.0,tt0418279,July,2007,$6.88 
104,107,The Incredibles,BV,70467623.0,11/5/04,Brad Bird,92000000.0,tt0317705,Nov,2004,$6.21 
105,108,Spectre,Sony,70403148.0,11/6/15,Sam Mendes,245000000.0,tt2379713,Nov,2015,$8.43 
106,109,Finding Nemo,BV,70251710.0,5/30/03,"Andrew Stanton, Lee Unkrich(co-director)",94000000.0,tt0266543,May,2003,$6.03 
107,110,Dr. Seuss' The Lorax,Uni.,70217070.0,3/2/12,,,,Mar,2012,$7.96 
108,111,Star Trek Into Darkness,Par.,70165559.0,5/16/13,J.J. Abrams,190000000.0,tt1408101,May,2013,$8.13 
109,112,Twilight,Sum.,69637740.0,11/21/08,Catherine Hardwicke,37000000.0,tt1099212,Nov,2008,$7.18 
110,113,Maleficent,BV,69431298.0,5/30/14,Robert Stromberg,180000000.0,tt1587310,May,2014,$8.17 
111,114,The Bourne Ultimatum,Uni.,69283690.0,8/3/07,Paul Greengrass,110000000.0,tt0440963,Aug,2007,$6.88 
112,115,Pitch Perfect 2,Uni.,69216890.0,5/15/15,Elizabeth Banks,29000000.0,tt2848292,May,2015,$8.43 
113,116,The LEGO Movie,WB,69050279.0,2/7/14,"Phil Lord, Christopher Miller",60000000.0,tt1490017,Feb,2014,$8.17 
114,117,The Day After Tomorrow,Fox,68743584.0,5/28/04,Roland Emmerich,125000000.0,tt0319262,May,2004,$6.21 
115,118,Planet of the Apes (2001),Fox,68532960.0,7/27/01,,,,July,2001,$5.65 
116,119,The Mummy Returns,Uni.,68139035.0,5/4/01,Stephen Sommers,98000000.0,tt0209163,May,2001,$5.65 
117,120,Up,BV,68108790.0,5/29/09,"Pete Docter, Bob Peterson(co-director)",175000000.0,tt1049413,May,2009,$7.50 
118,121,Ice Age: The Meltdown,Fox,68033544.0,3/31/06,Carlos Saldanha,68033544.0,tt0438097,Mar,2006,$6.55 
119,122,Bruce Almighty,Uni.,67953330.0,5/23/03,Tom Shadyac,81000000.0,tt0315327,May,2003,$6.03 
120,123,Cinderella (2015),BV,67877361.0,3/13/15,,,,Mar,2015,$8.43 
121,124,Quantum of Solace,Sony,67528882.0,11/14/08,Marc Forster,,tt0830515,Nov,2008,$7.18 
122,125,Rush Hour 2,NL,67408222.0,8/3/01,Brett Ratner,90000000.0,tt0266915,Aug,2001,$5.65 
123,126,Frozen,BV,67391326.0,11/27/13,"Chris Buck, Jennifer Lee",400738009.0,tt2294629,Nov,2013,$8.13 
124,127,World War Z,Par.,66411834.0,6/21/13,Marc Forster,66411834.0,tt0816711,Jun,2013,$8.13 
125,128,Brave,BV,66323594.0,6/22/12,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)",185000000.0,tt1217209,Jun,2012,$7.96 
126,129,Cars 2,BV,66135507.0,6/24/11,"John Lasseter, Brad Lewis(co-director)",200000000.0,tt1216475,Jun,2011,$7.93 
127,130,X-Men: Apocalypse,Fox,65769562.0,5/27/16,Bryan Singer,178000000.0,tt3385516,May,2016,$8.65 
128,131,Thor,Par.,65723338.0,5/6/11,Kenneth Branagh,150000000.0,tt0800369,May,2011,$7.93 
129,132,Teenage Mutant Ninja Turtles (2014),Par.,65575105.0,8/8/14,,,,Aug,2014,$8.17 
130,133,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,65556312.0,12/9/05,Andrew Adamson,180000000.0,tt0363771,Dec,2005,$6.41 
131,134,2012,Sony,65237614.0,11/13/09,Roland Emmerich,200000000.0,tt1190080,Nov,2009,$7.50 
132,135,Captain America: The First Avenger,Par.,65058524.0,7/22/11,Joe Johnston,140000000.0,tt0458339,July,2011,$7.93 
133,136,War of the Worlds,Par.,64878725.0,6/29/05,Steven Spielberg,132000000.0,tt0407304,Jun,2005,$6.41 
134,137,The Twilight Saga: Eclipse,Sum.,64832191.0,6/30/10,David Slade,68000000.0,tt1325004,Jun,2010,$7.89 
