,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
25,Jurassic World: Fallen Kingdom,Uni.,"$148,024,610",6/22/2018,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,Furious 7,Uni.,"$147,187,040",4/3/2015,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,Guardians of the Galaxy Vol. 2,BV,"$146,510,104",5/5/2017,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$141,067,634",11/16/2012,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$138,122,261",11/18/2011,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Finding Dory,BV,"$135,060,273",6/17/2016,,,,6,2016,,,
33,Suicide Squad,WB,"$133,682,248",8/5/2016,,,,8,2016,,,
34,Deadpool,Fox,"$132,434,639",2/12/2016,,,,2,2016,,,
35,Iron Man 2,Par.,"$128,122,480",5/7/2010,,,,5,2010,,,
36,Deadpool 2,Fox,"$125,507,153",5/18/2018,,,,5,2018,,,
37,Harry Potter and the Deathly Hallows Part 1,WB,"$125,017,372",11/19/2010,,,,11,2010,,,
38,It,WB (NL),"$123,403,419",9/8/2017,,,,9,2017,,,
39,Thor: Ragnarok,BV,"$122,744,989",11/3/2017,,,,11,2017,,,
40,The Hunger Games: Mockingjay - Part 1,LGF,"$121,897,634",11/21/2014,,,,11,2014,,,
42,Spider-Man: Homecoming,Sony,"$117,027,503",7/7/2017,,,,7,2017,,,
43,Man of Steel,WB,"$116,619,362",6/14/2013,,,,6,2013,,,
44,Alice in Wonderland (2010),BV,"$116,101,023",3/5/2010,,,,3,2010,,,
45,Minions,Uni.,"$115,718,405",7/10/2015,,,,7,2015,,,
48,Toy Story 3,BV,"$110,307,189",6/18/2010,,,,6,2010,,,
52,The Secret Life of Pets,Uni.,"$104,352,905",7/8/2016,,,,7,2016,,,
53,The Jungle Book (2016),BV,"$103,261,464",4/15/2016,,,,4,2016,,,
54,Wonder Woman,WB,"$103,251,471",6/2/2017,,,,6,2017,,,
57,The Hunger Games: Mockingjay - Part 2,LGF,"$102,665,981",11/20/2015,,,,11,2015,,,
59,Transformers: Age of Extinction,Par.,"$100,038,390",6/27/2014,,,,6,2014,,,
60,The Fate of the Furious,Uni.,"$98,786,705",4/14/2017,,,,4,2017,,,
62,Transformers: Dark of the Moon,P/DW,"$97,852,865",6/29/2011,,,,6,2011,,,
63,Fast & Furious 6,Uni.,"$97,375,245",5/24/2013,,,,5,2013,,,
64,Captain America: The Winter Soldier,BV,"$95,023,721",4/4/2014,,,,4,2014,,,
65,Guardians of the Galaxy,BV,"$94,320,883",8/1/2014,,,,8,2014,,,
66,Justice League,WB,"$93,842,239",11/17/2017,,,,11,2017,,,
68,Godzilla (2014),WB,"$93,188,384",5/16/2014,,,,5,2014,,,
70,The Amazing Spider-Man 2,Sony,"$91,608,337",5/2/2014,,,,5,2014,,,
71,X-Men: Days of Future Past,Fox,"$90,823,660",5/23/2014,,,,5,2014,,,
72,Inside Out,BV,"$90,440,272",6/19/2015,,,,6,2015,,,
74,Pirates of the Caribbean: On Stranger Tides,BV,"$90,151,958",5/20/2011,,,,5,2011,,,
75,American Sniper,WB,"$89,269,066",1/16/2015,,,,1,2015,,,
76,Logan,Fox,"$88,411,916",3/3/2017,,,,3,2017,,,
77,Skyfall,Sony,"$88,364,714",11/9/2012,,,,11,2012,,,
80,Fast Five,Uni.,"$86,198,765",4/29/2011,,,,4,2011,,,
81,The Hangover Part II,WB,"$85,946,294",5/26/2011,,,,5,2011,,,
82,Thor: The Dark World,BV,"$85,737,841",11/8/2013,,,,11,2013,,,
84,Fifty Shades of Grey,Uni.,"$85,171,450",2/13/2015,,,,2,2015,,,
85,Doctor Strange,BV,"$85,058,311",11/4/2016,,,,11,2016,,,
87,The Hobbit: An Unexpected Journey,WB (NL),"$84,617,303",12/14/2012,,,,12,2012,,,
88,Solo: A Star Wars Story,BV,"$84,420,489",5/25/2018,,,,5,2018,,,
90,Despicable Me 2,Uni.,"$83,517,315",7/3/2013,,,,7,2013,,,
91,Monsters University,BV,"$82,429,469",6/21/2013,,,,6,2013,,,
93,Oz The Great and Powerful,BV,"$79,110,453",3/8/2013,,,,3,2013,,,
100,Zootopia,BV,"$75,063,401",3/4/2016,,,,3,2016,,,
101,Fantastic Beasts and Where To Find Them,WB,"$74,403,387",11/18/2016,,,,11,2016,,,
103,The Hobbit: The Desolation of Smaug,WB (NL),"$73,645,197",12/13/2013,,,,12,2013,,,
106,Dawn of the Planet of the Apes,Fox,"$72,611,427",7/11/2014,,,,7,2014,,,
107,Despicable Me 3,Uni.,"$72,434,025",6/30/2017,,,,6,2017,,,
111,Shrek Forever After,P/DW,"$70,838,207",5/21/2010,,,,5,2010,,,
114,Spectre,Sony,"$70,403,148",11/6/2015,,,,11,2015,,,
116,Dr. Seuss' The Lorax,Uni.,"$70,217,070",3/2/2012,,,,3,2012,,,
117,Star Trek Into Darkness,Par.,"$70,165,559",5/16/2013,,,,5,2013,,,
119,Maleficent,BV,"$69,431,298",5/30/2014,,,,5,2014,,,
121,Pitch Perfect 2,Uni.,"$69,216,890",5/15/2015,,,,5,2015,,,
122,The LEGO Movie,WB,"$69,050,279",2/7/2014,,,,2,2014,,,
129,Cinderella (2015),BV,"$67,877,361",3/13/2015,,,,3,2015,,,
132,Frozen,BV,"$67,391,326",11/27/2013,,,,11,2013,,,
133,World War Z,Par.,"$66,411,834",6/21/2013,,,,6,2013,,,
134,Brave,BV,"$66,323,594",6/22/2012,,,,6,2012,,,
135,Cars 2,BV,"$66,135,507",6/24/2011,,,,6,2011,,,
136,X-Men: Apocalypse,Fox,"$65,769,562",5/27/2016,,,,5,2016,,,
137,Thor,Par.,"$65,723,338",5/6/2011,,,,5,2011,,,
138,Teenage Mutant Ninja Turtles (2014),Par.,"$65,575,105",8/8/2014,,,,8,2014,,,
141,Captain America: The First Avenger,Par.,"$65,058,524",7/22/2011,,,,7,2011,,,
143,The Twilight Saga: Eclipse,Sum.,"$64,832,191",6/30/2010,,,,6,2010,,,
147,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$62,983,253",5/26/2017,,,,5,2017,,,
148,Inception,WB,"$62,785,337",7/16/2010,,,,7,2010,,,
154,The Amazing Spider-Man,Sony,"$62,004,688",7/3/2012,,,,7,2012,,,
155,Clash of the Titans (2010),WB,"$61,235,105",4/2/2010,,,,4,2010,,,
156,Kong: Skull Island,WB,"$61,025,472",3/10/2017,,,,3,2017,,,
157,Madagascar 3: Europe's Most Wanted,P/DW,"$60,316,738",6/8/2012,,,,6,2012,,,
159,Straight Outta Compton,Uni.,"$60,200,180",8/14/2015,,,,8,2015,,,
163,Star Trek Beyond,Par.,"$59,253,211",7/22/2016,,,,7,2016,,,
164,Jason Bourne,Uni.,"$59,215,365",7/29/2016,,,,7,2016,,,
170,Ant-Man,BV,"$57,225,526",7/17/2015,,,,7,2015,,,
171,22 Jump Street,Sony,"$57,071,445",6/13/2014,,,,6,2014,,,
173,Moana,BV,"$56,631,401",11/23/2016,,,,11,2016,,,
174,Despicable Me,Uni.,"$56,397,125",7/9/2010,,,,7,2010,,,
175,War for the Planet of the Apes,Fox,"$56,262,929",7/14/2017,,,,7,2017,,,
176,Valentine's Day,WB (NL),"$56,260,707",2/12/2010,,,,2,2010,,,
177,Snow White and the Huntsman,Uni.,"$56,217,700",6/1/2012,,,,6,2012,,,
178,Big Hero 6,BV,"$56,215,889",11/7/2014,,,,11,2014,,,
181,Gravity,WB,"$55,785,112",10/4/2013,,,,10,2013,,,
182,The Karate Kid,Sony,"$55,665,805",6/11/2010,,,,6,2010,,,
183,Mission: Impossible - Rogue Nation,Par.,"$55,520,089",7/31/2015,,,,7,2015,,,
