,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer,Ratings
8,Wild Hogs,BV,"$39,699,023",3/2/2007,Rian Johnson," $620,181,382, 19 April 2018",tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)",0.91
9,Sherlock Holmes: A Game of Shadows,WB,"$39,637,079",12/16/2011,Colin Trevorrow,"$150,000,000",tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)",0.71
10,The Waterboy,BV,"$39,414,071",11/6/1998,Matthew Vaughn,"$30,000,000",tt1250777,5,2012,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","Action, Comedy","Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",0.75
11,Rio 2,Fox,"$39,327,869",4/11/2014,Jonathan Mostow,,tt0986263,2,2018,"Bruce Willis, Radha Mitchell, Rosamund Pike, Boris Kodjoe","Action, Crime, Mystery","Michael Ferris (screenplay), John Brancato (screenplay), Robert Venditti (graphic novel), Brett Weldele (graphic novel)",0.38
12,Rio,Fox,"$39,225,962",4/15/2011,Ben Stiller,,tt0115798,5,2015,"Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black","Comedy, Drama, Thriller",Lou Holtz Jr.,0.53
13,Taken 3,Fox,"$39,201,657",1/9/2015,Ron Howard,,tt3062096,6,2018,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan","Action, Adventure, Crime","Dan Brown (based in part on the novel by), David Koepp (screenplay by)",0.22
14,The Break-Up,Uni.,"$39,172,785",6/2/2006,Gabriele Muccino,,tt0814314,5,2016,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy","Drama, Romance",Grant Nieporte,0.26
15,The Good Dinosaur,BV,"$39,155,217",11/25/2015,Jason Moore,,tt1981677,3,2017,"Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow","Comedy, Music, Romance","Kay Cannon (screenplay), Mickey Rapkin (based on the book by)",0.8
16,Ocean's Twelve,WB,"$39,153,380",12/10/2004,Michael Cuesta,,tt1961175,5,2013,"Dylan O'Brien, Charlotte Vega, Christopher Bomford, Chris Webster","Action, Thriller","Stephen Schiff (screenplay by), Michael Finch (screenplay by), Edward Zwick (screenplay by), Marshall Herskovitz (screenplay by), Vince Flynn (based on the novel by)",0.34
17,The Grudge,Sony,"$39,128,715",10/22/2004,Joel Schumacher,,tt0117913,7,2011,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey","Crime, Drama, Thriller","John Grisham (novel), Akiva Goldsman (screenplay)",0.65
18,Magic Mike,WB,"$39,127,170",6/29/2012,Patricia Riggen,,tt4257926,3,2016,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino","Biography, Drama, Family","Christy Beam (book), Randy Brown (screenplay)",0.43
19,The Heat,Fox,"$39,115,043",6/28/2013,Duncan Jones,,tt0945513,7,2012,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright","Mystery, Romance, Sci-Fi",Ben Ripley,0.92
21,Dinosaur,BV,"$38,854,851",5/19/2000,Baz Luhrmann,,tt0455824,11,2013,"Shea Adams, Eddie Baroo, Ray Barrett, Tony Barry","Adventure, Drama, Romance","Stuart Beattie (screenplay), Baz Luhrmann (screenplay), Ronald Harwood (screenplay), Richard Flanagan (screenplay), Baz Luhrmann (story)",0.55
22,Daddy's Home,Par.,"$38,740,203",12/25/2015,Mikael Håfström,,tt1161864,12,2016,"Anthony Hopkins, Colin O'Donoghue, Alice Braga, Ciarán Hinds","Drama, Horror, Mystery","Michael Petroni, Matt Baglio (book)",0.21
23,Get Smart,WB,"$38,683,480",6/20/2008,Jodie Foster,,tt2241351,3,2012,"George Clooney, Julia Roberts, Jack O'Connell, Dominic West","Crime, Drama, Thriller","Jamie Linden (screenplay), Alan DiFiore (screenplay), Jim Kouf (screenplay), Alan DiFiore (story), Jim Kouf (story)",0.57
25,You Don't Mess with the Zohan,Sony,"$38,531,374",6/6/2008,Paul Weiland,,tt0866439,6,2018,"Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kadeem Hardison","Comedy, Romance","Adam Sztykiel (screenplay), Deborah Kaplan (screenplay), Harry Elfont (screenplay), Adam Sztykiel (story)",0.14
26,The Legend of Tarzan,WB,"$38,527,856",7/1/2016,Drew Goddard,,tt1259521,4,2015,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",Horror,"Joss Whedon, Drew Goddard",0.92
27,Over the Hedge,P/DW,"$38,457,003",5/19/2006,"Danny Pang, Oxide Chun Pang",,tt0425430,5,2017,"Kristen Stewart, Dylan McDermott, Penelope Ann Miller, John Corbett","Horror, Mystery, Thriller","Mark Wheaton (screenplay), Todd Farmer (story)",0.12
29,Alien Vs. Predator,Fox,"$38,291,056",8/13/2004,Michael Lembeck,,tt0452681,11,2012,"Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold","Adventure, Comedy, Family","Ed Decter, John J. Strauss, Leo Benvenuti (characters), Steve Rudnick (characters)",0.17
30,The Angry Birds Movie,Sony,"$38,155,177",5/20/2016,Michael Mann,,tt0248667,11,2011,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles","Biography, Drama, Sport","Gregory Allen Howard (story), Stephen J. Rivele (screenplay), Christopher Wilkinson (screenplay), Eric Roth (screenplay), Michael Mann (screenplay)",0.67
32,Ocean's Eleven,WB,"$38,107,822",12/7/2001,Todd Phillips,,tt2005151,6,2016,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz","Comedy, Crime, Drama","Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",0.59
33,Rango,Par.,"$38,079,323",3/4/2011,"John Francis Daley, Jonathan Goldstein",,tt1524930,8,2016,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins","Adventure, Comedy","Jonathan Goldstein, John Francis Daley, John Hughes (characters)",0.26
34,Inglourious Basterds,Wein.,"$38,054,676",8/21/2009,Clint Eastwood,,tt0118548,2,2016,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney","Action, Crime, Drama","David Baldacci (book), William Goldman (screenplay)",0.47
35,Bee Movie,P/DW,"$38,021,044",11/2/2007,David Frankel,,tt1535438,5,2010,"Meryl Streep, Tommy Lee Jones, Steve Carell, Jean Smart","Comedy, Drama, Romance",Vanessa Taylor,0.75
36,Lone Survivor,Uni.,"$37,849,910",1/10/2014,Joe Carnahan,,tt0475394,5,2018,"Ryan Reynolds, Ray Liotta, Joseph Ruskin, Alex Rocco","Action, Crime, Drama",Joe Carnahan,0.3
37,Ace Ventura: When Nature Calls,WB,"$37,804,076",11/10/1995,Mike Mitchell,,tt0405325,11,2010,"Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker","Adventure, Comedy, Family","Paul Hernandez, Robert Schooley, Mark McCorkle",0.73
38,Charlie's Angels: Full Throttle,Sony,"$37,634,221",6/27/2003,David Bowers,,tt2023453,9,2017,"Zachary Gordon, Steve Zahn, Robert Capron, Devon Bostick","Comedy, Family","Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay by), Jeff Kinney (based upon the book by)",0.51
39,Hop,Uni.,"$37,543,710",4/1/2011,Betty Thomas,,tt0119951,11,2017,"Howard Stern, Robin Quivers, Mary McCormack, Fred Norris","Biography, Comedy, Drama","Howard Stern (book), Len Blum (screenplay), Michael Kalesniko (screenplay)","{'Source': 'Metacritic', 'Value': '67/100'}"
40,Gone Girl,Fox,"$37,513,109",10/3/2014,Dave Filoni,,tt1185834,11,2014,"Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker","Animation, Action, Adventure","Henry Gilroy, Steven Melching, Scott Murphy",0.18
42,Pacific Rim,WB,"$37,285,325",7/12/2013,Joel Schumacher,,tt0481369,7,2017,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston","Action, Drama, Mystery",Fernley Phillips,0.08
43,Mr. Deeds,Sony,"$37,162,787",6/28/2002,John McTiernan,,tt0155267,6,2013,"Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara","Crime, Romance, Thriller","Alan Trustman (story), Leslie Dixon (screenplay), Kurt Wimmer (screenplay)",0.7
44,Annabelle,WB (NL),"$37,134,255",10/3/2014,Mick Jackson,,tt0120461,3,2010,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle","Action, Drama, Sci-Fi","Jerome Armstrong (story), Jerome Armstrong (screenplay), Billy Ray (screenplay)",0.48
45,Air Force One,Sony,"$37,132,505",7/25/1997,Anthony Minghella,,tt0159365,7,2015,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins","Adventure, Drama, History","Charles Frazier (book), Anthony Minghella (screenplay)",0.7
48,Red Dragon,Uni.,"$36,540,945",10/4/2002,Tamra Davis,,tt0275022,6,2010,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning","Comedy, Drama, Romance",Shonda Rhimes,0.14
52,Marley and Me,Fox,"$36,357,586",12/25/2008,Greg Berlanti,,tt1055292,7,2016,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett","Comedy, Drama, Romance","Ian Deitchman, Kristin Robinson",0.29
53,21 Jump Street,Sony,"$36,302,612",3/16/2012,Kirk Jones,,tt0396752,4,2016,"Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster","Comedy, Family, Fantasy","Emma Thompson (screenplay), Christianna Brand (""Nurse Matilda"" books)",0.73
54,Kingsman: The Secret Service,Fox,"$36,206,331",2/13/2015,Steve Carr,,tt0195945,6,2017,"Ice Cube, Mike Epps, Justin Pierce, John Witherspoon",Comedy,"Ice Cube (characters), DJ Pooh (characters), Ice Cube",0.2
57,Ocean's Thirteen,WB,"$36,133,403",6/8/2007,Barry Levinson,,tt0120184,11,2015,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote","Drama, Horror, Mystery","Michael Crichton (novel), Kurt Wimmer (adaptation), Stephen Hauser (screenplay), Paul Attanasio (screenplay)",0.12
59,Armageddon,BV,"$36,089,972",7/1/1998,Phil Joanou,,tt0421206,6,2014,"Dwayne Johnson, Xzibit, L. Scott Caldwell, Leon Rippy","Crime, Drama, Sport","Jeff Maguire, Jac Flanders (film ""Gridiron Gang"")",0.43
60,The Scorpion King,Uni.,"$36,075,875",4/19/2002,Thor Freudenthal,,tt1854564,4,2017,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin","Adventure, Family, Fantasy","Marc Guggenheim (screenplay by), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)",0.43
62,Robots,Fox,"$36,045,301",3/11/2005,Dennis Dugan,,tt0271668,6,2011,"Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke","Action, Comedy, Crime","Jay Scherick, David Ronn",0.11
63,Salt,Sony,"$36,011,243",7/23/2010,Clark Johnson,,tt0443632,5,2013,"Michael Douglas, Kiefer Sutherland, Eva Longoria, Martin Donovan","Action, Crime, Thriller","George Nolfi (screenplay), Gerald Petievich (novel)",0.33
64,Star Wars (Special Edition),Fox,"$35,906,661",1/31/1997,Nicholas Meyer,,tt0084726,4,2014,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","Action, Adventure, Sci-Fi","Gene Roddenberry (television series Star Trek), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)",0.88
65,"10,000 B.C.",WB,"$35,867,488",3/7/2008,David Fincher,,tt0119174,8,2014,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn","Drama, Mystery, Thriller","John Brancato, Michael Ferris",0.73
66,Rampage (2018),WB (NL),"$35,753,093",4/13/2018,Chris Koch,,tt0184907,11,2017,"Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk","Adventure, Comedy, Family","Will McRobb, Chris Viscardi",0.28
68,Sweet Home Alabama,BV,"$35,648,740",9/27/2002,Luis Llosa,,tt0111255,5,2014,"Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger","Action, Crime, Drama","John Shirley (Specialist novels), Alexandra Seros",0.07
70,Battle: Los Angeles,Sony,"$35,573,187",3/11/2011,Paul Weitz,,tt0385267,5,2014,"Dennis Quaid, Topher Grace, Scarlett Johansson, Marg Helgenberger","Comedy, Drama, Romance",Paul Weitz,0.83
71,The Other Guys,Sony,"$35,543,162",8/6/2010,Walt Becker,,tt2974918,5,2014,"Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney","Animation, Adventure, Comedy","Ross Bagdasarian (characters), Janice Karman (characters), Randi Mayem Singer, Adam Sztykiel",0.15
72,Central Intelligence,WB (NL),"$35,535,250",6/17/2016,Frank Coraci,,tt1086772,6,2015,"Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews","Comedy, Romance","Ivan Menchell, Clare Sera",0.14
74,Super 8,Par.,"$35,451,168",6/10/2011,Betty Thomas,,tt0455967,5,2011,"Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush","Comedy, Romance",Jeff Lowell,0.27
75,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$35,316,382",6/3/2016,Joe Johnston,,tt0317648,1,2015,"Viggo Mortensen, Zuleikha Robinson, Omar Sharif, Louise Lombard","Action, Adventure, Biography",John Fusco,0.46
76,Lilo & Stitch,BV,"$35,260,212",6/21/2002,Joe Johnston,,tt0097523,3,2017,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland","Adventure, Comedy, Family","Stuart Gordon (story), Brian Yuzna (story), Ed Naha (story), Ed Naha (screenplay), Tom Schulman (screenplay)",0.75
77,Sing,Uni.,"$35,258,145",12/21/2016,Steve Carr,,tt0422774,11,2012,"Ice Cube, Nia Long, John C. McGinley, Aleisha Allen","Comedy, Family, Fantasy","Hank Nelken (screenplay), Hank Nelken (screen story), Steven Gary Banks (characters), Claudia Grazioso (characters), Norman Panama (screenplay ""Mr. Blandings Builds His Dream House""), Melvin Frank (screenplay ""Mr. Blandings Builds His Dream House"")",0.08
80,The Ring Two,DW,"$35,065,237",3/18/2005,Oliver Stone,,tt0469641,4,2011,"Nicolas Cage, Maria Bello, Connor Paolo, Anthony Piccininni","Drama, History, Thriller","Andrea Berloff, John McLoughlin (true story), Donna McLoughlin (true story), William Jimeno (true story), Allison Jimeno (true story)",0.68
81,Runaway Bride,Par.,"$35,055,556",7/30/1999,John Erick Dowdle,,tt1082868,5,2011,"Jennifer Carpenter, Steve Harris, Jay Hernandez, Johnathon Schaech","Horror, Thriller","John Erick Dowdle (screenplay by), Drew Dowdle (screenplay by), Jaume Balagueró (based on the motion picture ""Rec"" written by), Luiso Berdejo (based on the motion picture ""Rec"" written by), Paco Plaza (based on the motion picture ""Rec"" written by)",0.59
82,Sully,WB,"$35,028,301",9/9/2016,Forest Whitaker,,tt0119313,11,2013,"Sandra Bullock, Harry Connick Jr., Gena Rowlands, Mae Whitman","Drama, Romance",Steven Rogers,0.24
84,The Expendables,LGF,"$34,825,135",8/13/2010,John Stockwell,,tt0300532,2,2015,"Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake","Drama, Romance, Sport","Susan Orlean (magazine article ""Surf Girls of Maui""), Lizzy Weiss (story), Lizzy Weiss (screenplay), John Stockwell (screenplay)",0.36
85,Gladiator,DW,"$34,819,017",5/5/2000,"Malcolm D. Lee, David Zucker",,tt0795461,11,2016,"Ashley Tisdale, Simon Rex, Gracie Whitton, Ava Kolker",Comedy,"David Zucker, Pat Proft, Shawn Wayans (based on characters created by), Marlon Wayans (based on characters created by), Buddy Johnson (based on characters created by), Phil Beauman (based on characters created by), Jason Friedberg (based on characters created by), Aaron Seltzer (based on characters created by)",0.04
87,The Magnificent Seven (2016),Sony,"$34,703,397",9/23/2016,Alex Proyas,,tt2404233,12,2012,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau","Action, Adventure, Fantasy","Matt Sazama, Burk Sharpless",0.15
88,Identity Thief,Uni.,"$34,551,025",2/8/2013,Ryan Murphy,,tt0879870,5,2018,"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup","Drama, Romance","Ryan Murphy (screenplay), Jennifer Salt (screenplay), Elizabeth Gilbert (book)",0.36
90,Enchanted,BV,"$34,440,317",11/21/2007,Barry Sonnenfeld,,tt0106220,7,2013,"Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack","Comedy, Fantasy","Charles Addams (characters), Paul Rudnick",0.78
91,Couples Retreat,Uni.,"$34,286,740",10/9/2009,"Don Bluth, Gary Goldman",,tt0118617,6,2013,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd","Animation, Adventure, Drama","Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)",0.85
93,I Now Pronounce You Chuck and Larry,Uni.,"$34,233,750",7/20/2007,Bill Condon,,tt0443489,3,2013,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover","Drama, Music, Musical","Tom Eyen (based on the original broadway production book by), Bill Condon (screenplay)",0.78
100,The Purge,Uni.,"$34,058,360",6/7/2013,Harald Zwart,,tt0313911,3,2016,"Frankie Muniz, Hilary Duff, Angie Harmon, Keith David","Action, Adventure, Comedy","Ashley Miller (screenplay), Zack Stentz (screenplay), Scott Alexander (screenplay), Larry Karaszewski (screenplay), Jeffrey Jurgensen (story)",0.39
101,Lethal Weapon 4,WB,"$34,048,124",7/10/1998,Kevin Costner,,tt0316356,11,2016,"Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon","Action, Drama, Romance","Lauran Paine (novel), Craig Storper (screenplay)",0.8
103,Wedding Crashers,NL,"$33,900,720",7/15/2005,Tony Scott,,tt0328107,12,2013,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken","Action, Crime, Drama","A.J. Quinnell (novel), Brian Helgeland (screenplay)",0.39
106,Think Like a Man,SGem,"$33,636,303",4/20/2012,Harold Becker,,tt0249478,7,2014,"John Travolta, James Lashly, Rebecca Tilney, Debra Mooney","Crime, Mystery, Thriller","Lewis Colick (story), William S. Comanor (story), Gary Drucker (story), Lewis Colick (screenplay)",0.24
107,The Proposal,BV,"$33,627,598",6/19/2009,"Bobby Farrelly, Peter Farrelly",,tt0408839,6,2017,"Ben Stiller, Malin Akerman, Michelle Monaghan, Jerry Stiller","Comedy, Romance","Scot Armstrong (screenplay), Leslie Dixon (screenplay), Bobby Farrelly (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bruce Jay Friedman (short story ""A Change of Plan""), Neil Simon",0.29
111,The Green Hornet,Sony,"$33,526,876",1/14/2011,Carl Franklin,,tt0257756,5,2010,"Ashley Judd, Morgan Freeman, Jim Caviezel, Adam Scott","Crime, Drama, Mystery","Joseph Finder (novel), Yuri Zeltser (screenplay), Grace Cary Bickley (screenplay)","{'Source': 'Metacritic', 'Value': '48/100'}"
114,Wrath of the Titans,WB,"$33,457,188",3/30/2012,Akira Kurosawa,,tt0047478,11,2015,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki","Adventure, Drama","Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)",1.0
116,Spy Kids 3D: Game Over,Dim.,"$33,417,739",7/25/2003,Anne Fletcher,,tt2967224,3,2012,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley","Action, Comedy, Crime","David Feeney, John Quaintance",0.07
117,Get Out,Uni.,"$33,377,060",2/24/2017,Edward Zwick,,tt0133952,5,2013,"Denzel Washington, Annette Bening, Bruce Willis, Tony Shalhoub","Action, Thriller","Lawrence Wright (story), Lawrence Wright (screenplay), Menno Meyjes (screenplay), Edward Zwick (screenplay)",0.44
119,American Wedding,Uni.,"$33,369,440",8/1/2003,Frederik Du Chau,,tt0376105,5,2014,"Bruce Greenwood, Hayden Panettiere, Caspar Poyck, Gary Bullock","Adventure, Comedy, Drama","David Schmidt (story), Steven P. Wegner (story), Kirk De Micco (story), Frederik Du Chau (story), David Schmidt (screenplay)",0.35
121,Lethal Weapon 3,WB,"$33,243,086",5/15/1992,"Will Finn, John Sanford",,tt0299172,5,2015,"G.W. Bailey, Roseanne Barr, Bobby Block, Steve Buscemi","Animation, Adventure, Comedy","Will Finn, John Sanford, Will Finn (story), John Sanford (story), Michael LaBash (story), Sam Levine (story), Mark Kennedy (story), Robert Lence (story), Keith Baxter (additional story), Mike Kunkel (additional story), Jason Lethcoe (additional story), Donnie Long (additional story), Shirley Pierce, Brian Pimental (additional story), David Moses Pimentel (additional story), Ralph Zondag (additional story), Davy Liu (additional story)",0.54
122,A Wrinkle in Time,BV,"$33,123,609",3/9/2018,Sylvester Stallone,,tt0462499,2,2014,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish","Action, Thriller, War","Art Monterastelli, Sylvester Stallone, David Morrell (character)",0.37
129,The Book of Eli,WB,"$32,789,494",1/15/2010,David R. Ellis,,tt0417148,3,2015,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","Action, Adventure, Crime","John Heffernan (screenplay), Sebastian Gutierrez (screenplay), David Dalessandro (story), John Heffernan (story)",0.69
132,Due Date,WB,"$32,689,406",11/5/2010,M. Night Shyamalan,,tt0452637,11,2013,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Drama, Fantasy, Mystery",M. Night Shyamalan,0.25
133,Blade II,NL,"$32,528,016",3/22/2002,Penny Marshall,,tt0104694,6,2013,"Tom Hanks, Geena Davis, Lori Petty, Madonna","Comedy, Drama, Family","Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",0.77
134,The Maze Runner,Fox,"$32,512,804",9/19/2014,Jonathan Lynn,,tt0190138,6,2012,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan","Comedy, Crime",Mitchell Kapner,0.45
135,Hannah Montana The Movie,BV,"$32,324,487",4/10/2009,Baz Luhrmann,,tt0203009,6,2011,"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent","Drama, Musical, Romance","Baz Luhrmann, Craig Pearce",0.76
136,Mr. Peabody & Sherman,Fox,"$32,207,057",3/7/2014,Dean Devlin,,tt1981128,5,2016,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara","Action, Sci-Fi, Thriller","Dean Devlin, Paul Guyot",0.14
137,Immortals,Rela.,"$32,206,425",11/11/2011,Jaume Collet-Serra,,tt1590193,5,2011,"Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks","Action, Crime, Drama","Byron Willinger (story by), Philip de Blasi (story by), Byron Willinger (screenplay by), Philip de Blasi (screenplay by), Ryan Engle (screenplay by)",0.57
138,Jackass Presents: Bad Grandpa,Par.,"$32,055,177",10/25/2013,Anna Foerster,,tt3717252,8,2014,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Action, Adventure, Fantasy","Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)",0.21
141,Terminator 2: Judgment Day,TriS,"$31,765,506",7/3/1991,Mark Helfrich,,tt0452625,7,2011,"Connor Price, Troy Gentile, Mackenzie Mowat, Sasha Pieterse","Comedy, Fantasy, Romance","Josh Stolberg (screenplay), Steve Glenn (short story)",0.05
143,Saw II,Lions,"$31,725,652",10/28/2005,Richard Loncraine,,tt0408345,6,2010,"Harrison Ford, Virginia Madsen, Carly Schroeder, Jimmy Bennett","Crime, Thriller",Joe Forte,0.18
147,The Truman Show,Par.,"$31,542,121",6/5/1998,Paul W.S. Anderson,,tt2592614,5,2017,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Action, Horror, Sci-Fi",Paul W.S. Anderson,0.36
148,The Purge: Election Year,Uni.,"$31,515,110",7/1/2016,Roger Kumble,,tt0997047,7,2010,"Martin Lawrence, Raven-Symoné, Kym Whitley, Adam LeFevre","Adventure, Comedy, Drama","Emi Mochizuki, Carrie Lee Wilson, Cinco Paul, Ken Daurio",0.12
154,The Sum of All Fears,Par.,"$31,178,526",5/31/2002,Ari Aster,,tt7784604,7,2012,"Alex Wolff, Gabriel Byrne, Toni Collette, Milly Shapiro","Drama, Horror, Mystery",Ari Aster,0.89
155,Home Alone 2: Lost in New York,Fox,"$31,126,882",11/20/1992,Diane Keaton,,tt0162983,4,2010,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau","Comedy, Drama","Delia Ephron (book), Delia Ephron (screenplay), Nora Ephron (screenplay)",0.12
156,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,"$31,117,834",2/1/2008,Gary Winick,,tt0892318,3,2017,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti","Adventure, Comedy, Drama","Jose Rivera, Tim Sullivan",0.41
157,Elf,NL,"$31,113,501",11/7/2003,"Bobby Farrelly, Peter Farrelly",,tt0480687,6,2012,"Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate","Comedy, Romance","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)",0.34
159,Four Christmases,WB (NL),"$31,069,826",11/26/2008,Steven Brill,,tt0364751,8,2015,"Matthew Price, Andrew Hampton, Jarred Rumbold, Carl Snell","Adventure, Comedy, Mystery","Fred Wolf (story), Harris Goldberg (story), Tom Nursall (story), Jay Leggett (screenplay), Mitch Rouse (screenplay)",0.14
163,Step Brothers,Sony,"$30,940,732",7/25/2008,James Mangold,,tt0118887,7,2016,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro","Crime, Drama, Thriller",James Mangold,0.73
164,Little Fockers,Uni.,"$30,833,665",12/22/2010,Adam Shankman,,tt0209475,7,2016,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers","Comedy, Romance","Pamela Falk, Michael Ellis","{'Source': 'Metacritic', 'Value': '33/100'}"
170,Saving Private Ryan,DW,"$30,576,104",7/24/1998,John Woo,,tt0338337,7,2015,"Ben Affleck, Aaron Eckhart, Uma Thurman, Paul Giamatti","Action, Mystery, Sci-Fi","Philip K. Dick (short story), Dean Georgaris (screenplay)",0.27
171,The Pacifier,BV,"$30,552,694",3/4/2005,Nora Ephron,,tt0117038,6,2014,"John Travolta, Andie MacDowell, William Hurt, Bob Hoskins","Comedy, Drama, Fantasy","Peter Dexter (story), Jim Quinlan (story), Nora Ephron (screenplay), Delia Ephron (screenplay), Peter Dexter (screenplay), Jim Quinlan (screenplay)",0.36
173,The Happening,Fox,"$30,517,109",6/13/2008,Joe Alves,,tt0085750,11,2016,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr.","Adventure, Horror, Thriller","Peter Benchley (suggested by the novel ""Jaws""), Richard Matheson (screenplay), Carl Gottlieb (screenplay), Guerdon Trueblood (story)",0.11
